77,致命魔术,休·杰克曼 Hugh Jackman...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
78,美国往事,罗伯特·德尼罗 Robert De Niro ...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
79,沉默的羔羊,朱迪·福斯特 Jodie Foster / 安...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
80,禁闭岛,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg
81,蝴蝶效应,,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
82,低俗小说,约翰·特拉沃尔塔 John Tra...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
83,心灵捕手,马特·达蒙 Matt Damon / 罗宾·...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
84,布达佩斯大饭店,拉尔夫·费因斯 Ralph Fiennes / ...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
85,春光乍泄,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
86,七宗罪,摩根·弗里曼 Morgan Freeman / 布...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
87,哈利·波特与死亡圣器(下),丹尼尔·雷德克里夫 Daniel Radcliffe...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg
88,摩登时代,查理·卓别林 Charles Chaplin ...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
89,喜剧之王,周星驰 Stephen Ch...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
90,被嫌弃的松子的一生,中谷美纪 Miki Nakatani / 瑛太 E...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
91,致命ID,约翰·库萨克 John Cusack / 雷...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
92,杀人回忆,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p657823840.jpg
93,加勒比海盗,约翰尼·德普 Johnny Depp / ...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
94,剪刀手爱德华,约翰尼·德普 Johnny Depp / 薇诺娜·...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
95,勇敢的心,梅尔·吉布森 Mel Gibson / 苏菲·玛...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg
96,狩猎,麦斯·米科尔森 Mads Mik...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
97,请以你的名字呼唤我,艾米·汉莫 Armie Hammer / ...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
98,红辣椒,林原惠美 Megumi Hayashibara / 江守彻 Toru...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg
